Date,Strategy
2016-06-13,1.0869317710980588
2016-06-14,1.0808772904940742
2016-06-15,1.0861549471000946
2016-06-16,1.0892609522352692
2016-06-17,1.08569256725628
2016-06-20,1.093214360520883
2016-06-21,1.0950660856784267
2016-06-22,1.0956620775851482
2016-06-23,1.1080606635042376
2016-06-24,1.0736878628136974
2016-06-27,1.0665415545212826
2016-06-28,1.0876417281294186
2016-06-29,1.1012262077506372
2016-06-30,1.115420217380914
2016-07-01,1.1246653529588564
2016-07-05,1.1183885767148796
2016-07-06,1.121912598220662
2016-07-07,1.1213324975858505
2016-07-08,1.1387565258586185
2016-07-11,1.142820852905207
2016-07-12,1.1449291403641961
2016-07-13,1.1480144034625335
2016-07-14,1.14932123373534
2016-07-15,1.1442264325885743
2016-07-18,1.1470521851360513
2016-07-19,1.144946265996407
2016-07-20,1.1492330722778232
2016-07-21,1.1473717249252353
2016-07-22,1.1509940744965312
2016-07-25,1.1484783275383943
2016-07-26,1.1509644782546156
2016-07-27,1.1577584046967022
2016-07-28,1.1569565545539136
2016-07-29,1.1645592440225956
2016-08-01,1.15819765888552
2016-08-02,1.1495072497518102
2016-08-03,1.1519968638776814
2016-08-04,1.1565718623278403
2016-08-05,1.1590162302032538
2016-08-08,1.1601249204223403
2016-08-09,1.1659370010493895
2016-08-10,1.166456935197436
2016-08-11,1.1673998456154693
2016-08-12,1.1701158253917763
2016-08-15,1.1708825407002719
2016-08-16,1.166624479817687
2016-08-17,1.168282802073448
2016-08-18,1.1721227364837696
2016-08-19,1.1686142406740292
2016-08-22,1.1705378905841661
2016-08-23,1.1725361507038299
2016-08-24,1.169289614449282
2016-08-25,1.167917000125894
2016-08-26,1.1640218460089204
2016-08-29,1.1710350525634639
2016-08-30,1.1690220034650216
2016-08-31,1.1665870522900152
2016-09-01,1.1685047149383518
2016-09-02,1.1714521149528936
2016-09-06,1.1780973324855628
2016-09-07,1.1779894131514796
2016-09-08,1.1712287801334418
2016-09-09,1.149472318507767
2016-09-12,1.1574229344740277
2016-09-13,1.1444545575542941
2016-09-14,1.1457407875803094
2016-09-15,1.152912999022351
2016-09-16,1.151990516638665
2016-09-19,1.152752377415405
2016-09-20,1.1541222021022555
2016-09-21,1.1664102552535447
2016-09-22,1.174697047044761
2016-09-23,1.1696281816704575
2016-09-26,1.165297490452292
2016-09-27,1.1720714391477922
2016-09-28,1.1754695135791828
2016-09-29,1.1686468362631817
2016-09-30,1.1712958245846068
2016-10-03,1.16903689475098
2016-10-04,1.162984157018691
2016-10-05,1.166003902631829
2016-10-06,1.1645073694931485
2016-10-07,1.162334305881743
2016-10-10,1.1663404267151143
2016-10-11,1.1540799287347472
2016-10-12,1.1541668574455015
2016-10-13,1.1519965994106793
